network_name,price_past,lr,test_mse_loss,test_mae,test_mape
GRU,30,2.6384615384615384e-05,1432320.671330715,930.1571088674675,0.053933771375540014
GRU,30,2.8923076923076925e-05,1106439.7682255935,820.2267038215446,0.04749379205568098
GRU,30,3.146153846153846e-05,899389.5763500948,757.9684209789426,0.043737396906634064
GRU,30,3.4e-05,1041840.6156240666,820.5882327718974,0.04737698662889234
GRU,30,3.653846153846154e-05,1440621.605328741,928.3814224735384,0.053983641775706595
GRU,30,3.9076923076923075e-05,1066887.1147148835,825.6959151219012,0.04754404227717767
GRU,30,4.161538461538461e-05,1167246.7851938773,842.8232757313135,0.04878346707556161
GRU,30,4.415384615384615e-05,1147081.9649516735,856.1730131561753,0.049426161649046084
GRU,30,4.669230769230769e-05,1114863.4474773887,835.5426497920866,0.04815603042741305
GRU,30,4.9230769230769225e-05,1113350.7338155475,837.968014952957,0.0483013420797475
